,niq_su,oaccruals_at,taccruals_at,seas_1_1an,resff3_12_1,ret_6_1,ret_12_1,ami_126d,turnover_126d,me,dolvol,netis_at,capx_gr1,emp_gr1,mispricing_mgmt,noa_gr1a,inv_gr1,at_gr1,sale_gr1,beta_60m,bidaskhl_21d,rmax5_21d,rmax1_21d,rvol_21d,ivol_capm_21d,ivol_ff3_21d,ret_1_0,rmax5_rvol_21d,cash_at,ret_60_12,at_me,be_me,sale_me,z_score,ebitda_mev,fcf_me,ni_me,ocf_me,niq_be,f_score,o_score,qmj,op_at,ocf_at,cop_at,gp_at,ope_be,age,div12m_me,chcsho_12m,eqnpo_12m
bidaskhl_21d,0.0,0.0,0.0,0.01282051282051282,0.02564102564102564,0.05128205128205128,0.038461538461538464,0.08974358974358974,0.08974358974358974,0.08974358974358974,0.08974358974358974,0.1282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5512820512820513,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.7051282051282052,0.01282051282051282,0.05128205128205128,0.10256410256410256,0.10256410256410256,0.10256410256410256,0.10256410256410256,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.11538461538461539,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.4358974358974359,0.44871794871794873,0.4358974358974359,0.4358974358974359
rmax5_21d,0.0,0.0,0.0,0.01282051282051282,0.02564102564102564,0.05128205128205128,0.038461538461538464,0.08974358974358974,0.08974358974358974,0.08974358974358974,0.08974358974358974,0.1282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5512820512820513,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.7051282051282052,0.01282051282051282,0.05128205128205128,0.10256410256410256,0.10256410256410256,0.10256410256410256,0.10256410256410256,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.11538461538461539,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.4358974358974359,0.44871794871794873,0.4358974358974359,0.4358974358974359
rmax1_21d,0.0,0.0,0.0,0.01282051282051282,0.02564102564102564,0.05128205128205128,0.038461538461538464,0.08974358974358974,0.08974358974358974,0.08974358974358974,0.08974358974358974,0.1282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5512820512820513,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.7051282051282052,0.01282051282051282,0.05128205128205128,0.10256410256410256,0.10256410256410256,0.10256410256410256,0.10256410256410256,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.11538461538461539,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.4358974358974359,0.44871794871794873,0.4358974358974359,0.4358974358974359
rvol_21d,0.0,0.0,0.0,0.01282051282051282,0.02564102564102564,0.05128205128205128,0.038461538461538464,0.08974358974358974,0.08974358974358974,0.08974358974358974,0.08974358974358974,0.1282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5512820512820513,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.7051282051282052,0.01282051282051282,0.05128205128205128,0.10256410256410256,0.10256410256410256,0.10256410256410256,0.10256410256410256,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.11538461538461539,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.4358974358974359,0.44871794871794873,0.4358974358974359,0.4358974358974359
ivol_capm_21d,0.0,0.0,0.0,0.01282051282051282,0.02564102564102564,0.05128205128205128,0.038461538461538464,0.08974358974358974,0.08974358974358974,0.08974358974358974,0.08974358974358974,0.1282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5512820512820513,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.7051282051282052,0.01282051282051282,0.05128205128205128,0.10256410256410256,0.10256410256410256,0.10256410256410256,0.10256410256410256,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.11538461538461539,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.4358974358974359,0.44871794871794873,0.4358974358974359,0.4358974358974359
ivol_ff3_21d,0.0,0.0,0.0,0.01282051282051282,0.02564102564102564,0.05128205128205128,0.038461538461538464,0.08974358974358974,0.08974358974358974,0.08974358974358974,0.08974358974358974,0.1282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5512820512820513,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.7051282051282052,0.01282051282051282,0.05128205128205128,0.10256410256410256,0.10256410256410256,0.10256410256410256,0.10256410256410256,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.11538461538461539,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.4358974358974359,0.44871794871794873,0.4358974358974359,0.4358974358974359
ret_1_0,0.0,0.0,0.0,0.02564102564102564,0.01282051282051282,0.02564102564102564,0.01282051282051282,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2564102564102564,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.7948717948717948,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0641025641025641,0.05128205128205128,0.05128205128205128,0.05128205128205128
rmax5_rvol_21d,0.0,0.0,0.0,0.01282051282051282,0.02564102564102564,0.05128205128205128,0.038461538461538464,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41025641025641024,0.7051282051282052,0.7051282051282052,0.7051282051282052,0.7051282051282052,0.7051282051282052,0.7051282051282052,0.7948717948717948,1.0,0.01282051282051282,0.02564102564102564,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.0,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.15384615384615385,0.14102564102564102,0.14102564102564102
cash_at,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21794871794871795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10256410256410256,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.0,0.01282051282051282,1.0,0.10256410256410256,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.20512820512820512,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.0641025641025641,0.1282051282051282,0.08974358974358974,0.08974358974358974
ret_60_12,0.0,0.0,0.0,0.0,0.05128205128205128,0.02564102564102564,0.038461538461538464,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.11538461538461539,0.08974358974358974,0.1794871794871795,0.14102564102564102,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.11538461538461539,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.02564102564102564,0.02564102564102564,0.10256410256410256,1.0,0.32051282051282054,0.32051282051282054,0.32051282051282054,0.28205128205128205,0.24358974358974358,0.24358974358974358,0.24358974358974358,0.24358974358974358,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.05128205128205128,0.11538461538461539,0.14102564102564102,0.14102564102564102
at_me,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.10256410256410256,0.10256410256410256,0.10256410256410256,0.10256410256410256,0.10256410256410256,0.10256410256410256,0.0,0.01282051282051282,0.3333333333333333,0.32051282051282054,1.0,1.0,1.0,0.7948717948717948,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7692307692307693,0.8076923076923077,0.7948717948717948,0.7948717948717948,0.7948717948717948,0.7948717948717948,0.7948717948717948,0.7948717948717948,0.7948717948717948,0.2948717948717949,0.4358974358974359,0.4230769230769231,0.4230769230769231
be_me,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.10256410256410256,0.10256410256410256,0.10256410256410256,0.10256410256410256,0.10256410256410256,0.10256410256410256,0.0,0.01282051282051282,0.3333333333333333,0.32051282051282054,1.0,1.0,1.0,0.7948717948717948,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7692307692307693,0.8076923076923077,0.7948717948717948,0.7948717948717948,0.7948717948717948,0.7948717948717948,0.7948717948717948,0.7948717948717948,0.7948717948717948,0.2948717948717949,0.4358974358974359,0.4230769230769231,0.4230769230769231
sale_me,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.10256410256410256,0.10256410256410256,0.10256410256410256,0.10256410256410256,0.10256410256410256,0.10256410256410256,0.0,0.01282051282051282,0.3333333333333333,0.32051282051282054,1.0,1.0,1.0,0.7948717948717948,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7692307692307693,0.8076923076923077,0.7948717948717948,0.7948717948717948,0.7948717948717948,0.7948717948717948,0.7948717948717948,0.7948717948717948,0.7948717948717948,0.2948717948717949,0.4358974358974359,0.4230769230769231,0.4230769230769231
z_score,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.10256410256410256,0.10256410256410256,0.10256410256410256,0.10256410256410256,0.10256410256410256,0.10256410256410256,0.0,0.0,0.20512820512820512,0.28205128205128205,0.7948717948717948,0.7948717948717948,0.7948717948717948,1.0,0.9102564102564102,0.9102564102564102,0.9102564102564102,0.9102564102564102,0.9230769230769231,0.9358974358974359,0.9487179487179487,0.9487179487179487,0.9487179487179487,0.9487179487179487,0.9487179487179487,0.9487179487179487,0.9487179487179487,0.2692307692307692,0.41025641025641024,0.41025641025641024,0.41025641025641024
ebitda_mev,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3717948717948718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.0,0.01282051282051282,0.16666666666666666,0.24358974358974358,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9102564102564102,1.0,1.0,1.0,1.0,0.9358974358974359,0.9743589743589743,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.358974358974359,0.47435897435897434,0.47435897435897434,0.47435897435897434
fcf_me,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3717948717948718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.0,0.01282051282051282,0.16666666666666666,0.24358974358974358,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9102564102564102,1.0,1.0,1.0,1.0,0.9358974358974359,0.9743589743589743,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.358974358974359,0.47435897435897434,0.47435897435897434,0.47435897435897434
ni_me,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3717948717948718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.0,0.01282051282051282,0.16666666666666666,0.24358974358974358,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9102564102564102,1.0,1.0,1.0,1.0,0.9358974358974359,0.9743589743589743,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.358974358974359,0.47435897435897434,0.47435897435897434,0.47435897435897434
ocf_me,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3717948717948718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.0,0.01282051282051282,0.16666666666666666,0.24358974358974358,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9102564102564102,1.0,1.0,1.0,1.0,0.9358974358974359,0.9743589743589743,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.358974358974359,0.47435897435897434,0.47435897435897434,0.47435897435897434
niq_be,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3717948717948718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.0,0.0,0.15384615384615385,0.2564102564102564,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.9230769230769231,0.9358974358974359,0.9358974358974359,0.9358974358974359,0.9358974358974359,1.0,0.9615384615384616,0.9743589743589743,0.9743589743589743,0.9743589743589743,0.9743589743589743,0.9743589743589743,0.9743589743589743,0.9743589743589743,0.2948717948717949,0.41025641025641024,0.41025641025641024,0.41025641025641024
f_score,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.0,0.0,0.15384615384615385,0.2564102564102564,0.8076923076923077,0.8076923076923077,0.8076923076923077,0.9358974358974359,0.9743589743589743,0.9743589743589743,0.9743589743589743,0.9743589743589743,0.9615384615384616,1.0,0.9871794871794872,0.9871794871794872,0.9871794871794872,0.9871794871794872,0.9871794871794872,0.9871794871794872,0.9871794871794872,0.3333333333333333,0.44871794871794873,0.44871794871794873,0.44871794871794873
