,seas_1_1an,resff3_12_1,ret_6_1,ret_12_1,capx_gr1,mispricing_mgmt,emp_gr1,noa_gr1a,inv_gr1,at_gr1,sale_gr1,ami_126d,turnover_126d,me,dolvol,beta_60m,bidaskhl_21d,rmax5_21d,rmax1_21d,rvol_21d,ivol_capm_21d,ivol_ff3_21d,ret_1_0,rmax5_rvol_21d,cash_at,ret_60_12,age,div12m_me,chcsho_12m,eqnpo_12m,netis_at,at_me,be_me,sale_me,ebitda_mev,fcf_me,ni_me,ocf_me,z_score,f_score,o_score,qmj,niq_be,op_at,ocf_at,cop_at,gp_at,ope_be,niq_su,oaccruals_at,taccruals_at
ivol_capm_21d,0.0,0.039473684210526314,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.5789473684210527,1.0,1.0,1.0,1.0,1.0,1.0,0.5263157894736842,0.7368421052631579,0.06578947368421052,0.039473684210526314,0.4473684210526316,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.13157894736842105,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.13157894736842105,0.13157894736842105,0.13157894736842105,0.13157894736842105,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.0,0.0,0.0
ivol_ff3_21d,0.0,0.039473684210526314,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.5789473684210527,1.0,1.0,1.0,1.0,1.0,1.0,0.5263157894736842,0.7368421052631579,0.06578947368421052,0.039473684210526314,0.4473684210526316,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.13157894736842105,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.13157894736842105,0.13157894736842105,0.13157894736842105,0.13157894736842105,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.0,0.0,0.0
ret_1_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.2631578947368421,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842,1.0,0.7894736842105263,0.013157894736842105,0.0,0.11842105263157894,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rmax5_rvol_21d,0.0,0.039473684210526314,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.4473684210526316,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7894736842105263,1.0,0.02631578947368421,0.0,0.19736842105263158,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cash_at,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.013157894736842105,0.02631578947368421,1.0,0.10526315789473684,0.10526315789473684,0.18421052631578946,0.15789473684210525,0.15789473684210525,0.18421052631578946,0.39473684210526316,0.39473684210526316,0.39473684210526316,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.25,0.2236842105263158,0.2236842105263158,0.2236842105263158,0.2236842105263158,0.2236842105263158,0.2236842105263158,0.2236842105263158,0.2236842105263158,0.2236842105263158,0.0,0.0,0.0
ret_60_12,0.0,0.02631578947368421,0.013157894736842105,0.013157894736842105,0.07894736842105263,0.17105263157894737,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.0,0.0,0.0,0.0,0.11842105263157894,0.039473684210526314,0.039473684210526314,0.039473684210526314,0.039473684210526314,0.039473684210526314,0.039473684210526314,0.0,0.0,0.10526315789473684,1.0,0.05263157894736842,0.11842105263157894,0.14473684210526316,0.14473684210526316,0.15789473684210525,0.3815789473684211,0.3815789473684211,0.3815789473684211,0.3026315789473684,0.3026315789473684,0.3026315789473684,0.3026315789473684,0.34210526315789475,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.0,0.0,0.0
age,0.0,0.0,0.013157894736842105,0.013157894736842105,0.0,0.05263157894736842,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.0,0.0,0.0,0.0,0.2631578947368421,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.11842105263157894,0.19736842105263158,0.10526315789473684,0.05263157894736842,1.0,0.7105263157894737,0.6842105263157895,0.6842105263157895,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.32894736842105265,0.32894736842105265,0.32894736842105265,0.32894736842105265,0.27631578947368424,0.27631578947368424,0.2894736842105263,0.2894736842105263,0.2894736842105263,0.2894736842105263,0.2894736842105263,0.2894736842105263,0.2894736842105263,0.2894736842105263,0.0,0.0,0.0
div12m_me,0.0,0.0,0.0,0.0,0.0,0.06578947368421052,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.0,0.0,0.0,0.0,0.2631578947368421,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.07894736842105263,0.15789473684210525,0.18421052631578946,0.11842105263157894,0.7105263157894737,1.0,0.9605263157894737,0.9605263157894737,0.2894736842105263,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4473684210526316,0.4342105263157895,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.0,0.0,0.0
chcsho_12m,0.0,0.0,0.0,0.0,0.039473684210526314,0.10526315789473684,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.0,0.0,0.0,0.0,0.25,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.07894736842105263,0.15789473684210525,0.15789473684210525,0.14473684210526316,0.6842105263157895,0.9605263157894737,1.0,1.0,0.32894736842105265,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4473684210526316,0.4342105263157895,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.0,0.0,0.0
eqnpo_12m,0.0,0.0,0.0,0.0,0.039473684210526314,0.10526315789473684,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.0,0.0,0.0,0.0,0.25,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.07894736842105263,0.15789473684210525,0.15789473684210525,0.14473684210526316,0.6842105263157895,0.9605263157894737,1.0,1.0,0.32894736842105265,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4473684210526316,0.4342105263157895,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.0,0.0,0.0
