,sel_freq,t_stat,sign,sign_stability,dominant_sign_label,ic_mean,ic_std,n_pos,n_neg,n_zero,feat_w
beta_60m,0.6944444444444444,-4.750381075462356,-1,0.8194444444444444,-,-0.01891225804877591,0.01954532291170636,13,59,0,0.8386479768339717
ivol_capm_21d,0.1527777777777778,-18.91228462594564,-1,1.0,-,-0.07097755613365109,0.018077826312590382,0,72,0,0.5763888827724428
ivol_ff3_21d,0.0,-18.166170059262654,-1,1.0,-,-0.07038923669670244,0.018495057574360478,0,72,0,0.4999999871016968
rvol_21d,0.8472222222222222,-16.349793757356274,-1,1.0,-,-0.06609515632734451,0.019530271654993582,0,72,0,0.923611031792563
rmax1_21d,0.7638888888888888,-17.132662568909545,-1,1.0,-,-0.06085132689821631,0.017103047124886344,0,72,0,0.8819444081885044
rmax5_21d,0.09722222222222222,-16.764986582904502,-1,1.0,-,-0.06417861324285812,0.018335149682519043,0,72,0,0.5486110587439762
rmax5_rvol_21d,0.9861111111111112,-4.391312990732597,-1,0.7638888888888888,-,-0.01433592980232382,0.014889410648002352,17,55,0,0.9808225962621478
dolvol,0.9583333333333334,5.633554475719731,1,0.8472222222222222,+,0.018184695185664672,0.015226151335574352,61,11,0,0.9756035652896904
turnover_126d,0.9861111111111112,-6.422519496857175,-1,0.9444444444444444,-,-0.0234849813840303,0.017335386479630698,4,68,0,0.9914336324582782
ami_126d,0.875,-10.107322519256012,-1,1.0,-,-0.02858088287204412,0.013567262439866576,0,72,0,0.937459221814892
bidaskhl_21d,1.0,-15.915518402349976,-1,1.0,-,-0.06426735838379753,0.01923248826241314,0,72,0,0.9999998775445472
qmj,0.1527777777777778,20.957839320794324,1,1.0,+,0.0329960572219252,0.00786586783800875,72,0,0,0.5763888880979808
f_score,0.05555555555555555,10.038556742557837,1,0.9722222222222222,+,0.026255007878739092,0.012411840900929262,70,2,0,0.5277340969128113
o_score,0.16666666666666666,-17.009930785029134,-1,1.0,-,-0.04100349487051428,0.011669896482976646,0,72,0,0.5833332923430514
z_score,0.2638888888888889,2.2344007989710706,1,0.75,+,0.007581710329704953,0.015688690198329084,54,18,0,0.5352409047625911
oaccruals_at,1.0,-0.503149512797331,-1,0.5277777777777778,-,-0.0013781433299774443,0.012445230086029994,34,38,0,0.6231991924342405
taccruals_at,1.0,1.567627165974854,1,0.5972222222222222,+,0.004167205727305852,0.012083446441930414,43,29,0,0.8274450788746179
cash_at,1.0,-3.942264961988554,-1,0.8888888888888888,-,-0.018233922335499538,0.020921314136603794,8,64,0,0.9809651413660374
chcsho_12m,0.0,-9.979762878819518,-1,0.9861111111111112,-,-0.03443418136065879,0.01637051713200033,1,71,0,0.4999536740929479
eqnpo_12m,1.0,15.686366562772704,1,1.0,+,0.05422015492894101,0.016464557860757924,72,0,0,0.999999846008236
netis_at,1.0,-9.929126740395724,-1,1.0,-,-0.036248455434289034,0.016767454579899362,0,72,0,0.9999512680396713
age,1.0,9.962840931017942,1,1.0,+,0.03113222253796868,0.014971956760620405,72,0,0,0.9999528835352797
at_me,1.0,2.9835054911751158,1,0.7916666666666666,+,0.014556759561326814,0.022334028007844165,57,15,0,0.9518233726603885
niq_su,1.0,6.65268181399361,1,0.9583333333333334,+,0.010765429656233148,0.007814934445579262,69,3,0,0.9987111069610929
mispricing_mgmt,1.0,13.177093023102117,1,1.0,+,0.026230495295584903,0.009395411839139773,72,0,0,0.9999981065214475
