,ret_60_12,capx_gr1,mispricing_mgmt,emp_gr1,noa_gr1a,inv_gr1,at_gr1,sale_gr1,beta_60m,bidaskhl_21d,rmax5_21d,rmax1_21d,rvol_21d,ivol_capm_21d,ivol_ff3_21d,ami_126d,turnover_126d,me,dolvol,ret_1_0,rmax5_rvol_21d,oaccruals_at,taccruals_at,netis_at,cash_at,at_me,z_score,o_score,f_score,qmj,niq_be,op_at,ocf_at,cop_at,ope_be,gp_at,ebitda_mev,fcf_me,ocf_me,ni_me,be_me,sale_me,age,div12m_me,chcsho_12m,eqnpo_12m,niq_su,seas_1_1an,resff3_12_1,ret_6_1,ret_12_1
rmax5_21d,0.3026315789473684,0.07894736842105263,0.09210526315789473,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.9210526315789473,1.0,1.0,1.0,1.0,1.0,1.0,0.9342105263157895,0.9342105263157895,0.9342105263157895,0.9342105263157895,0.6052631578947368,0.7894736842105263,0.17105263157894737,0.17105263157894737,0.2631578947368421,0.47368421052631576,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.631578947368421,0.5921052631578947,0.5789473684210527,0.5789473684210527,0.0,0.02631578947368421,0.05263157894736842,0.06578947368421052,0.06578947368421052
rmax1_21d,0.3026315789473684,0.07894736842105263,0.09210526315789473,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.9210526315789473,1.0,1.0,1.0,1.0,1.0,1.0,0.9342105263157895,0.9342105263157895,0.9342105263157895,0.9342105263157895,0.6052631578947368,0.7894736842105263,0.17105263157894737,0.17105263157894737,0.2631578947368421,0.47368421052631576,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.631578947368421,0.5921052631578947,0.5789473684210527,0.5789473684210527,0.0,0.02631578947368421,0.05263157894736842,0.06578947368421052,0.06578947368421052
rvol_21d,0.3026315789473684,0.07894736842105263,0.09210526315789473,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.9210526315789473,1.0,1.0,1.0,1.0,1.0,1.0,0.9342105263157895,0.9342105263157895,0.9342105263157895,0.9342105263157895,0.6052631578947368,0.7894736842105263,0.17105263157894737,0.17105263157894737,0.2631578947368421,0.47368421052631576,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.631578947368421,0.5921052631578947,0.5789473684210527,0.5789473684210527,0.0,0.02631578947368421,0.05263157894736842,0.06578947368421052,0.06578947368421052
ivol_capm_21d,0.3026315789473684,0.07894736842105263,0.09210526315789473,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.9210526315789473,1.0,1.0,1.0,1.0,1.0,1.0,0.9342105263157895,0.9342105263157895,0.9342105263157895,0.9342105263157895,0.6052631578947368,0.7894736842105263,0.17105263157894737,0.17105263157894737,0.2631578947368421,0.47368421052631576,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.631578947368421,0.5921052631578947,0.5789473684210527,0.5789473684210527,0.0,0.02631578947368421,0.05263157894736842,0.06578947368421052,0.06578947368421052
ivol_ff3_21d,0.3026315789473684,0.07894736842105263,0.09210526315789473,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.9210526315789473,1.0,1.0,1.0,1.0,1.0,1.0,0.9342105263157895,0.9342105263157895,0.9342105263157895,0.9342105263157895,0.6052631578947368,0.7894736842105263,0.17105263157894737,0.17105263157894737,0.2631578947368421,0.47368421052631576,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.631578947368421,0.5921052631578947,0.5789473684210527,0.5789473684210527,0.0,0.02631578947368421,0.05263157894736842,0.06578947368421052,0.06578947368421052
ami_126d,0.27631578947368424,0.05263157894736842,0.06578947368421052,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.8552631578947368,0.9342105263157895,0.9342105263157895,0.9342105263157895,0.9342105263157895,0.9342105263157895,0.9342105263157895,1.0,1.0,1.0,1.0,0.5657894736842105,0.75,0.13157894736842105,0.13157894736842105,0.19736842105263158,0.40789473684210525,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.5657894736842105,0.5263157894736842,0.5131578947368421,0.5131578947368421,0.0,0.02631578947368421,0.05263157894736842,0.06578947368421052,0.06578947368421052
turnover_126d,0.27631578947368424,0.05263157894736842,0.06578947368421052,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.8552631578947368,0.9342105263157895,0.9342105263157895,0.9342105263157895,0.9342105263157895,0.9342105263157895,0.9342105263157895,1.0,1.0,1.0,1.0,0.5657894736842105,0.75,0.13157894736842105,0.13157894736842105,0.19736842105263158,0.40789473684210525,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.5657894736842105,0.5263157894736842,0.5131578947368421,0.5131578947368421,0.0,0.02631578947368421,0.05263157894736842,0.06578947368421052,0.06578947368421052
me,0.27631578947368424,0.05263157894736842,0.06578947368421052,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.8552631578947368,0.9342105263157895,0.9342105263157895,0.9342105263157895,0.9342105263157895,0.9342105263157895,0.9342105263157895,1.0,1.0,1.0,1.0,0.5657894736842105,0.75,0.13157894736842105,0.13157894736842105,0.19736842105263158,0.40789473684210525,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.5657894736842105,0.5263157894736842,0.5131578947368421,0.5131578947368421,0.0,0.02631578947368421,0.05263157894736842,0.06578947368421052,0.06578947368421052
dolvol,0.27631578947368424,0.05263157894736842,0.06578947368421052,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.8552631578947368,0.9342105263157895,0.9342105263157895,0.9342105263157895,0.9342105263157895,0.9342105263157895,0.9342105263157895,1.0,1.0,1.0,1.0,0.5657894736842105,0.75,0.13157894736842105,0.13157894736842105,0.19736842105263158,0.40789473684210525,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.5657894736842105,0.5263157894736842,0.5131578947368421,0.5131578947368421,0.0,0.02631578947368421,0.05263157894736842,0.06578947368421052,0.06578947368421052
ret_1_0,0.06578947368421052,0.0,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.5789473684210527,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.5657894736842105,0.5657894736842105,0.5657894736842105,0.5657894736842105,1.0,0.8157894736842105,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.11842105263157894,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.2894736842105263,0.23684210526315788,0.23684210526315788,0.23684210526315788,0.0,0.0,0.0,0.0,0.0
